### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0033242551252846, 'Volume': 1.228152e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-27'}
{'profit_coin': 'BTC', 'trair': ['CAG/BTC', 'CAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.007632111111111, 'Volume': 1.141155e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-42'}
{'profit_coin': 'BTC', 'trair': ['CAG/BTC', 'CAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0076889324894516, 'Volume': 1.141155e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-49'}
{'profit_coin': 'BTC', 'trair': ['CAG/BTC', 'CAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0076014275668073, 'Volume': 1.141155e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-15-22-57'}
{'profit_coin': 'BTC', 'trair': ['CAG/BTC', 'CAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0076194683544304, 'Volume': 1.141155e-08, 'Sequence': 'straight', 'Time Stamp': '18-07-15-23-04'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ETN/ETH', 'ETN/BTC'], 'Unbalance factor': 1.0035325329545453, 'Volume': 0.021635792561916, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-06'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'NUSD/USDT', 'NUSD/ETH'], 'Unbalance factor': 1.0055841272088377, 'Volume': 2.1887999999999999e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-09'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'NUSD/USDT', 'NUSD/ETH'], 'Unbalance factor': 1.0036246380528224, 'Volume': 0.04555674540000001, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-17'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'NUSD/USDT', 'NUSD/ETH'], 'Unbalance factor': 1.0041950270867936, 'Volume': 0.04555674540000001, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-24'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'IOST/ETH', 'IOST/BTC'], 'Unbalance factor': 1.0245375722543353, 'Volume': 1.1072e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-36'}
{'profit_coin': 'BTC', 'trair': ['NEO/BTC', 'SOUL/NEO', 'SOUL/BTC'], 'Unbalance factor': 1.003647516641065, 'Volume': 0.00034072819200000004, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-23-47'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0084041649151172, 'Volume': 1.223e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-15-23-55'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0078595181891672, 'Volume': 1.223e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-03'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'KCS/ETH', 'KCS/BTC'], 'Unbalance factor': 1.003452889789111, 'Volume': 0.000282666915, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-06'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.008678355987055, 'Volume': 1.223e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-16-00-10'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0035842293906811, 'Volume': 0.1977518, 'Sequence': 'inverse', 'Time Stamp': '18-07-16-00-16'}
